,name_customer,clear_date,document_create_date.1,due_in_date,total_open_amount,baseline_create_date,isOpen,delay
40,WAL-MAR corp,2019-11-19,2019-11-08,2019-11-23,52187.72,2019-11-08,0,-4 days
41,WAL-MAR associates,2020-01-21,2020-01-04,2020-01-19,4953.83,2020-01-04,0,2 days
42,COAS corporation,2020-02-06,2020-01-22,2020-02-06,54714.07,2020-01-22,0,0 days
43,WAL-MAR corp,2020-03-04,2020-02-22,2020-03-08,3228.13,2020-02-22,0,-4 days
44,KRAFT  trust,2019-05-31,2019-04-12,2019-05-19,25055.21,2019-04-14,0,12 days
46,WAL-MAR trust,2019-04-26,2019-04-16,2019-05-01,34565.51,2019-04-16,0,-5 days
47,INGL in,2019-08-23,2019-08-08,2019-08-23,65353.0,2019-08-08,0,0 days
48,WAL-MAR corporation,2020-02-27,2020-02-17,2020-03-03,49723.89,2020-02-17,0,-5 days
49,WAL-MAR us,2019-01-29,2019-01-18,2019-02-02,353.96,2019-01-18,0,-4 days
50,DECA systems,2019-05-10,2019-05-07,2019-05-11,3435.96,2019-05-01,0,-1 days
53,WAL-MAR ,2019-08-05,2019-07-24,2019-08-08,21418.85,2019-07-24,0,-3 days
54,MBM  foundation,2020-01-31,2020-01-15,2020-01-30,12606.72,2020-01-15,0,1 days
55,QUI us,2020-03-04,2020-02-18,2020-03-04,25580.96,2020-02-18,0,0 days
56,BROOKS systems,2019-09-10,2019-08-28,2019-09-12,20360.19,2019-08-28,0,-2 days
58,SYSCO FO trust,2019-07-30,2019-07-16,2019-07-31,322.48,2019-07-16,0,-1 days
59,C&S WH llc,2020-02-05,2020-01-21,2020-02-05,91102.25,2020-01-21,0,0 days
60,DI llc,2019-04-01,2019-03-15,2019-03-30,73077.72,2019-03-15,0,2 days
61,AMAZO ,2019-07-15,2019-06-30,2019-07-11,2233.96,2019-07-01,0,4 days
62,SYSCO  us,2019-06-24,2019-06-10,2019-06-25,3285.62,2019-06-10,0,-1 days
63,THE  corp,2019-09-18,2019-07-08,2019-07-19,5460.48,2019-07-09,0,61 days
64,DASA I ,2019-05-23,2019-05-06,2019-05-16,24351.25,2019-05-06,0,7 days
65,CO in,2019-06-21,2019-06-06,2019-06-21,22491.08,2019-06-06,0,0 days
66,US  co,2019-05-10,2019-04-26,2019-05-11,981.31,2019-04-26,0,-1 days
67,WAL-MAR foundation,2020-01-24,2020-01-14,2020-01-29,71008.69,2020-01-14,0,-5 days
68,TARG in,2019-02-26,2019-02-01,2019-02-16,8445.33,2019-02-01,0,10 days
69,KROGER foundation,2019-09-03,2019-08-19,2019-09-03,79935.8,2019-08-19,0,0 days
71,WAL-MAR in,2019-02-11,2019-01-24,2019-02-08,13636.19,2019-01-24,0,3 days
72,WAL-MAR llc,2019-04-08,2019-03-27,2019-04-11,71047.42,2019-03-27,0,-3 days
73,WAL-MAR corporation,2019-06-25,2019-06-13,2019-06-28,3748.84,2019-06-13,0,-3 days
74,ASSOCIAT co,2019-03-06,2019-02-20,2019-03-07,74898.29,2019-02-20,0,-1 days
75,WAL-MAR foundation,2019-11-20,2019-11-10,2019-11-25,6300.98,2019-11-10,0,-5 days
78,DOT co,2019-05-17,2019-05-02,2019-05-17,26520.18,2019-05-02,0,0 days
80,C&S WH ,2019-04-01,2019-03-15,2019-03-30,75138.42,2019-03-15,0,2 days
81,H E BUT in,2019-08-07,2019-07-24,2019-08-08,78043.58,2019-07-24,0,-1 days
82,LOB us,2019-06-21,2019-06-02,2019-06-19,40474.99,2019-06-09,0,2 days
85,PEA us,2019-11-07,2019-09-12,2019-10-12,42362.3,2019-09-12,0,26 days
86,BARGAIN  corporation,2019-09-27,2019-09-10,2019-09-25,6347.86,2019-09-10,0,2 days
87,WAL-MAR systems,2019-07-10,2019-06-30,2019-07-15,48129.8,2019-06-30,0,-5 days
89,WAL-MAR corp,2019-10-10,2019-09-29,2019-10-14,5957.04,2019-09-29,0,-4 days
90,WAL-MAR llc,2019-09-03,2019-08-21,2019-09-05,423.47,2019-08-21,0,-2 days
91,WEST  trust,2019-03-23,2019-03-04,2019-03-19,32415.05,2019-03-04,0,4 days
92,WAL-MAR llc,2019-09-03,2019-08-22,2019-09-06,1328.25,2019-08-22,0,-3 days
93,BROOKS in,2019-08-14,2019-07-28,2019-08-12,116300.54,2019-07-28,0,2 days
96,PROFIC corporation,2020-01-29,2020-01-14,2020-01-29,20306.46,2020-01-14,0,0 days
97,INTERN trust,2019-12-24,2019-11-25,2019-12-10,17243.1,2019-11-25,0,14 days
98,TARG associates,2020-02-26,2020-02-11,2020-02-26,22993.63,2020-02-11,0,0 days
99,JETR foundation,2019-08-07,2019-07-23,2019-08-07,18939.75,2019-07-23,0,0 days
100,INTERSTA co,2019-06-29,2019-06-18,2019-06-28,13872.48,2019-06-18,0,1 days
101,C&S WH systems,2020-02-19,2020-02-01,2020-02-16,937.68,2020-02-01,0,3 days
103,WAL-MAR co,2019-05-09,2019-04-29,2019-05-14,1170.27,2019-04-29,0,-5 days
104,WAL-MAR co,2019-03-18,2019-03-07,2019-03-22,23976.32,2019-03-07,0,-4 days
105,REINHA trust,2019-04-17,2019-04-02,2019-04-17,18828.87,2019-04-02,0,0 days
106,WAL-MAR us,2019-12-23,2019-12-10,2019-12-25,720.78,2019-12-10,0,-2 days
107,COST in,2019-10-07,2019-09-21,2019-10-06,13091.11,2019-09-21,0,1 days
108,DECA ,2020-03-02,2020-02-21,2020-03-10,28.32,2020-02-16,0,-8 days
109,C&S WH us,2020-02-14,2020-01-30,2020-02-14,19665.2,2020-01-30,0,0 days
111,COSTCO corp,2019-05-09,2019-04-18,2019-05-05,52957.08,2019-04-25,0,4 days
114,WAL-MAR foundation,2019-05-28,2019-05-15,2019-05-30,13112.14,2019-05-15,0,-2 days
115,MEIJ associates,2019-06-21,2019-06-05,2019-06-20,19997.78,2019-06-05,0,1 days
116,SA llc,2020-03-06,2020-01-30,2020-03-15,124047.42,2020-01-30,0,-9 days
117,DOLLA llc,2019-09-25,2019-09-10,2019-09-25,99386.3,2019-09-10,0,0 days
118,BJ'S  systems,2019-10-15,2019-09-27,2019-10-12,2211.63,2019-09-27,0,3 days
119,SAFEW corporation,2019-04-29,2019-02-21,2019-04-27,2588.65,2019-02-21,0,2 days
120,ASSOCIAT trust,2019-04-18,2019-04-02,2019-04-17,99608.36,2019-04-02,0,1 days
121,WAL-MAR associates,2019-04-01,2019-03-19,2019-04-03,16982.59,2019-03-19,0,-2 days
122,JRD us,2019-07-15,2019-06-25,2019-07-15,1721.07,2019-06-25,0,0 days
123,TARG ,2019-10-23,2019-10-06,2019-10-21,13533.21,2019-10-06,0,2 days
124,WAL-MAR ,2019-10-15,2019-09-29,2019-10-14,3225.75,2019-09-29,0,1 days
125,ASSOCI in,2019-11-04,2019-08-07,2019-11-05,1172.53,2019-08-07,0,-1 days
126,COST ,2019-04-12,2019-03-29,2019-04-13,32944.47,2019-03-29,0,-1 days
127,H E BUT trust,2019-11-27,2019-11-13,2019-11-28,11443.14,2019-11-13,0,-1 days
128,BIRD-I ,2020-01-25,2020-01-10,2020-01-20,4884.0,2020-01-10,0,5 days
129,GORDO ,2019-03-26,2019-03-07,2019-03-22,38182.86,2019-03-07,0,4 days
130,RONALD co,2019-05-31,2019-04-30,2019-05-31,19718.4,2019-05-01,0,0 days
132,SYSC systems,2019-12-31,2019-12-12,2019-12-27,17710.21,2019-12-12,0,4 days
133,AM systems,2019-02-26,2019-01-24,2019-02-08,7790.06,2019-01-24,0,18 days
134,SAFEW us,2019-07-23,2019-07-06,2019-07-21,48577.93,2019-07-06,0,2 days
136,WAL-MAR co,2019-02-19,2019-02-06,2019-02-21,316.8,2019-02-06,0,-2 days
139,DEC ,2019-07-24,2019-07-19,2019-07-23,1867.12,2019-07-16,0,1 days
140,COST systems,2020-03-06,2020-02-21,2020-04-26,1715.7,2020-02-21,0,-51 days
141,SYSCO ,2019-07-09,2019-06-19,2019-07-04,31309.71,2019-06-19,0,5 days
142,DOT associates,2019-12-10,2019-11-25,2019-12-29,94490.93,2019-11-25,0,-19 days
143,WAL-MAR systems,2020-01-27,2020-01-15,2020-01-30,6663.09,2020-01-15,0,-3 days
144,KRAFT  corporation,2019-03-29,2019-02-22,2019-03-29,16245.14,2019-02-22,0,0 days
145,TARG corp,2020-02-21,2020-02-06,2020-02-21,46665.92,2020-02-06,0,0 days
146,TARG llc,2019-02-19,2019-01-31,2019-02-15,20463.04,2019-01-31,0,4 days
147,SA associates,2019-08-27,2019-08-09,2019-08-24,26097.25,2019-08-09,0,3 days
149,OK ,2019-10-18,2019-10-02,2019-10-17,19190.96,2019-10-02,0,1 days
150,DECA foundation,2019-04-25,2019-04-25,2019-04-26,7642.71,2019-04-16,0,-1 days
151,DARDEN D corp,2019-05-15,2019-05-02,2019-05-17,22759.63,2019-05-02,0,-2 days
152,DOT associates,2019-12-20,2019-12-05,2019-12-20,1683.46,2019-12-05,0,0 days
153,DEC llc,2019-05-25,2019-05-25,2019-05-26,320.06,2019-05-16,0,-1 days
154,GORDON F llc,2019-05-13,2019-05-01,2019-05-12,26483.17,2019-05-02,0,1 days
155,WAL-MAR corp,2020-02-03,2020-01-17,2020-02-01,7040.6,2020-01-17,0,2 days
156,C&S W llc,2019-12-30,2019-12-13,2019-12-28,45235.58,2019-12-13,0,2 days
157,SA ,2019-01-22,2019-01-04,2019-01-19,13873.43,2019-01-04,0,3 days
158,ASSOCIAT ,2019-05-13,2019-04-25,2019-05-10,61001.54,2019-04-25,0,3 days
159,WAL-MAR llc,2020-03-06,2020-02-25,2020-03-11,17479.1,2020-02-25,0,-5 days
160,WAL-MAR llc,2019-09-24,2019-09-13,2019-09-28,28649.56,2019-09-13,0,-4 days
161,MEIJ us,2019-01-28,2019-01-09,2019-01-24,46474.49,2019-01-09,0,4 days
162,SA foundation,2019-01-22,2019-01-04,2019-01-19,14516.79,2019-01-04,0,3 days
163,WAL-MAR foundation,2019-06-21,2019-06-11,2019-06-26,16101.13,2019-06-11,0,-5 days
164,DI ,2019-11-26,2019-11-11,2019-11-26,15258.5,2019-11-11,0,0 days
165,WAL-MAR ,2019-10-15,2019-10-05,2019-10-20,69527.13,2019-10-05,0,-5 days
166,PAPA JO in,2019-10-31,2019-10-21,2019-10-31,15026.34,2019-10-21,0,0 days
167,BJ'S  ,2019-01-22,2019-01-04,2019-01-19,83081.83,2019-01-04,0,3 days
168,ATLANT llc,2019-06-24,2019-05-31,2019-06-18,30.19,2019-06-08,0,6 days
169,COST foundation,2019-05-01,2019-04-16,2019-05-01,20557.14,2019-04-16,0,0 days
170,TARG trust,2019-10-02,2019-09-07,2019-09-22,37071.97,2019-09-07,0,10 days
171,WAL-MAR us,2019-11-26,2019-11-16,2019-12-01,13683.15,2019-11-16,0,-5 days
172,SYSCO trust,2019-05-06,2019-04-18,2019-05-03,9481.83,2019-04-18,0,3 days
173,BJ'S  systems,2020-03-09,2020-02-23,2020-03-09,344.27,2020-02-23,0,0 days
174,ASSOCIAT ,2019-10-18,2019-10-03,2019-10-18,2254.37,2019-10-03,0,0 days
175,BJ'S  trust,2019-03-06,2019-02-14,2019-03-01,820.4,2019-02-14,0,5 days
176,DELHAIZE systems,2019-03-04,2019-01-30,2019-02-14,17231.53,2019-01-30,0,18 days
177,GORDO us,2019-03-13,2019-02-20,2019-03-07,1591.96,2019-02-20,0,6 days
179,SA us,2020-02-04,2020-01-19,2020-02-03,38899.31,2020-01-19,0,1 days
180,DEC associates,2019-11-18,2019-11-07,2019-11-24,4819.24,2019-11-01,0,-6 days
181,SUPE ,2019-06-27,2019-06-11,2019-06-26,95073.2,2019-06-11,0,1 days
182,SYSTEMS co,2019-07-17,2019-06-26,2019-07-16,13859.37,2019-06-26,0,1 days
183,DEC us,2019-03-25,2019-03-25,2019-03-23,20857.19,2019-03-16,0,2 days
184,SA co,2020-01-21,2020-01-02,2020-01-17,13768.73,2020-01-02,0,4 days
185,SA in,2019-07-29,2019-07-13,2019-07-28,82605.09,2019-07-13,0,1 days
186,HEIN corporation,2019-11-24,2019-11-01,2019-12-16,6377.39,2019-11-01,0,-22 days
187,INTERR llc,2020-02-26,2020-02-11,2020-02-21,42383.25,2020-02-11,0,5 days
189,WAL-MAR co,2019-10-15,2019-09-27,2019-10-12,1735.16,2019-09-27,0,3 days
190,BURR corp,2019-01-28,2019-01-11,2019-01-26,475.69,2019-01-11,0,2 days
191,ASSOCIAT associates,2019-12-04,2019-11-16,2019-12-01,58990.76,2019-11-16,0,3 days
192,WAL-MAR corporation,2019-12-06,2019-11-19,2019-12-04,12591.43,2019-11-19,0,2 days
194,WAL-MAR corporation,2019-09-10,2019-08-30,2019-09-14,48398.85,2019-08-30,0,-4 days
195,WAL-MAR corporation,2019-11-05,2019-10-25,2019-11-09,14752.57,2019-10-25,0,-4 days
196,KEURIG co,2019-08-28,2019-03-24,2019-05-03,8972.99,2019-03-24,0,117 days
198,RESTA foundation,2019-04-10,2019-03-26,2019-04-10,1686.74,2019-03-26,0,0 days
201,WAL-MAR corp,2019-12-05,2019-11-25,2019-12-10,22096.07,2019-11-25,0,-5 days
202,HEIN systems,2019-06-12,2019-02-15,2019-04-01,14278.48,2019-02-15,0,72 days
204,WAL-MAR us,2019-05-29,2019-05-18,2019-06-02,7000.45,2019-05-18,0,-4 days
205,DOT co,2019-09-16,2019-08-30,2019-10-03,48806.26,2019-08-30,0,-17 days
206,WAKE llc,2019-12-06,2019-10-27,2019-11-11,29929.01,2019-10-27,0,25 days
207,COST in,2020-03-09,2020-02-20,2020-03-06,6681.26,2020-02-20,0,3 days
208,UNIFIE trust,2019-09-13,2019-08-28,2019-09-12,19170.69,2019-08-28,0,1 days
209,COST llc,2020-02-26,2020-02-12,2020-02-27,98321.98,2020-02-12,0,-1 days
210,RITE associates,2019-07-05,2019-06-19,2019-07-04,89474.22,2019-06-19,0,1 days
211,WAL-MAR ,2019-12-04,2019-11-23,2019-12-08,1244.9,2019-11-23,0,-4 days
212,WEGMAN in,2019-06-03,2019-05-19,2019-06-03,19496.39,2019-05-19,0,0 days
213,SUPE associates,2019-10-17,2019-10-01,2019-10-16,136.08,2019-10-01,0,1 days
216,WESTI corporation,2019-01-18,2019-01-11,2019-01-21,20367.5,2019-01-11,0,-3 days
217,COLABOR  foundation,2019-12-12,2019-11-27,2019-12-09,45.88,2019-11-29,0,3 days
218,PANAMEX  corporation,2020-03-17,2020-01-06,2020-03-06,24643.72,2020-01-06,0,11 days
219,COST systems,2020-01-17,2020-01-02,2020-01-17,20557.14,2020-01-02,0,0 days
220,WAL-M co,2019-04-25,2019-04-07,2019-04-17,7533.93,2019-04-07,0,8 days
221,KROG corp,2019-11-04,2019-10-20,2019-11-04,8301.45,2019-10-20,0,0 days
222,WAL-MAR systems,2019-01-23,2019-01-12,2019-01-27,15823.03,2019-01-12,0,-4 days
223,PERISH ,2019-04-11,2019-03-28,2019-04-12,134457.26,2019-03-28,0,-1 days
224,AM ,2019-08-12,2019-07-26,2019-08-10,3476.52,2019-07-26,0,2 days
225,NICH corp,2020-01-24,2020-01-03,2020-01-18,495.86,2020-01-03,0,6 days
226,AM llc,2019-11-05,2019-10-21,2019-11-05,642.24,2019-10-21,0,0 days
227,WAL-MAR us,2019-12-10,2019-11-29,2019-12-14,16907.57,2019-11-29,0,-4 days
228,DELHAIZE corporation,2019-05-17,2019-05-03,2019-05-18,51147.1,2019-05-03,0,-1 days
230,DECA llc,2019-11-01,2019-10-18,2019-11-08,6733.93,2019-10-16,0,-7 days
231,WAL-MAR co,2019-07-16,2019-07-05,2019-07-20,44952.8,2019-07-05,0,-4 days
232,DECA corp,2019-03-04,2019-02-26,2019-03-11,49.44,2019-02-16,0,-7 days
233,AM llc,2019-03-25,2019-03-04,2019-05-08,72721.08,2019-03-04,0,-44 days
234,SUPE trust,2019-07-17,2019-07-01,2019-07-16,54073.74,2019-07-01,0,1 days
235,UNITE in,2019-04-12,2019-03-28,2019-04-12,3329.23,2019-03-28,0,0 days
236,WAL-MAR co,2020-02-10,2020-01-24,2020-02-08,2416.07,2020-01-24,0,2 days
238,WAL-MAR us,2020-03-05,2020-02-24,2020-03-10,3703.19,2020-02-24,0,-5 days
239,WAL-MAR ,2019-06-12,2019-06-02,2019-06-17,39293.61,2019-06-02,0,-5 days
240,LOB corporation,2020-01-31,2020-01-20,2020-01-30,44273.4,2020-01-20,0,1 days
241,WAL-MAR us,2019-06-17,2019-06-05,2019-06-20,26666.4,2019-06-05,0,-3 days
243,SYSCO F corp,2019-12-20,2019-11-29,2019-12-19,24209.83,2019-11-29,0,1 days
244,DI systems,2019-02-11,2019-01-25,2019-02-09,11523.97,2019-01-25,0,2 days
245,COSTCO co,2019-12-12,2019-11-19,2019-12-07,73402.0,2019-11-27,0,5 days
246,COST foundation,2019-09-13,2019-08-30,2019-09-14,7884.97,2019-08-30,0,-1 days
247,WAL-MAR corp,2019-12-09,2019-11-28,2019-12-13,30162.79,2019-11-28,0,-4 days
248,COLABOR  llc,2019-11-14,2019-11-05,2019-11-17,1702.67,2019-11-07,0,-3 days
249,DOLLAR systems,2020-02-13,2020-02-01,2020-02-16,20217.6,2020-02-01,0,-3 days
250,QUI us,2019-05-13,2019-04-24,2019-05-09,23150.75,2019-04-24,0,4 days
251,WAL-MAR in,2019-02-26,2019-02-15,2019-03-02,43371.16,2019-02-15,0,-4 days
252,AMY llc,2019-09-10,2019-08-12,2019-08-28,17336.04,2019-08-12,0,13 days
253,WAL-MAR co,2019-06-04,2019-05-18,2019-06-02,53750.69,2019-05-18,0,2 days
255,DOT ,2019-02-13,2019-01-24,2019-02-13,113.47,2019-01-24,0,0 days
256,KRAFT  foundation,2019-08-02,2019-06-02,2019-07-07,74819.57,2019-06-02,0,26 days
257,PUBLI systems,2019-11-12,2019-10-28,2019-11-12,22990.16,2019-10-28,0,0 days
259,C&S WH trust,2019-01-18,2019-01-03,2019-01-18,5595.12,2019-01-03,0,0 days
261,KRAFT  ,2019-05-31,2019-04-04,2019-05-09,1264.16,2019-04-04,0,22 days
262,KRAFT F foundation,2019-03-01,2019-01-01,2019-01-01,3195.37,2019-01-01,0,59 days
263,WAL-MAR corp,2019-12-20,2019-12-09,2019-12-24,15804.65,2019-12-09,0,-4 days
266,WAKE us,2019-05-29,2019-05-14,2019-05-29,17520.12,2019-05-14,0,0 days
267,WEIS systems,2019-05-20,2019-03-15,2019-05-19,3490.87,2019-03-15,0,1 days
269,GORDON F associates,2020-02-10,2020-01-23,2020-02-10,53017.57,2020-01-31,0,0 days
270,SMITH'S in,2019-11-07,2019-10-23,2019-11-07,96922.79,2019-10-23,0,0 days
271,SYSCO F systems,2019-09-03,2019-08-20,2019-09-04,2407.15,2019-08-20,0,-1 days
273,WAL-MAR corp,2019-08-26,2019-08-12,2019-08-27,1897.5,2019-08-12,0,-1 days
274,WAL-MAR corp,2019-07-05,2019-06-19,2019-07-04,14232.21,2019-06-19,0,1 days
276,GROC corporation,2019-09-18,2019-09-03,2019-09-18,15925.12,2019-09-03,0,0 days
278,SA foundation,2019-09-19,2019-09-04,2019-09-19,15725.29,2019-09-04,0,0 days
279,SA trust,2019-07-02,2019-06-20,2019-07-05,7224.52,2019-06-20,0,-3 days
280,BJ'S  systems,2019-07-19,2019-07-04,2019-07-19,510.06,2019-07-04,0,0 days
281,WAL-MAR llc,2020-02-12,2020-01-27,2020-02-11,36211.47,2020-01-27,0,1 days
282,WAL-MAR trust,2019-04-29,2019-04-17,2019-05-02,16793.1,2019-04-17,0,-3 days
283,WAL-MAR corp,2019-01-23,2019-01-12,2019-01-27,2974.01,2019-01-12,0,-4 days
284,COST co,2019-12-30,2019-12-16,2019-12-31,61646.9,2019-12-16,0,-1 days
285,ASSOCIAT us,2020-01-28,2020-01-11,2020-01-26,52396.08,2020-01-11,0,2 days
286,BRADY trust,2019-10-10,2019-05-22,2019-06-21,16912.8,2019-05-22,0,111 days
287,TARG ,2019-10-30,2019-08-30,2019-11-03,245.54,2019-08-30,0,-4 days
289,WALG associates,2019-09-06,2019-08-20,2019-09-04,16930.48,2019-08-20,0,2 days
290,WAL-MAR corp,2020-03-05,2020-02-23,2020-03-09,14949.55,2020-02-23,0,-4 days
291,WAL-MAR us,2019-01-24,2019-01-14,2019-01-29,29880.86,2019-01-14,0,-5 days
292,DOT corporation,2019-06-17,2019-05-31,2019-07-04,2960.57,2019-05-31,0,-17 days
293,DOLLA trust,2019-02-25,2019-02-10,2019-02-25,18126.73,2019-02-10,0,0 days
294,WAL-MAR foundation,2020-02-19,2020-02-08,2020-02-23,72955.78,2020-02-08,0,-4 days
296,C&S WH foundation,2020-01-23,2020-01-08,2020-01-23,20211.37,2020-01-08,0,0 days
297,WAL-MAR co,2019-04-23,2019-04-12,2019-04-27,58082.83,2019-04-12,0,-4 days
298,BJ'S  corporation,2019-06-11,2019-05-27,2019-06-11,59.16,2019-05-27,0,0 days
299,SYSC ,2019-08-29,2019-08-12,2019-08-23,22761.68,2019-08-13,0,6 days
300,WAL-MAR associates,2019-11-12,2019-10-22,2019-11-06,55286.67,2019-10-22,0,6 days
302,PERISH corporation,2019-04-29,2019-04-13,2019-04-28,110103.7,2019-04-13,0,1 days
303,DECA corporation,2019-06-25,2019-06-19,2019-06-23,4698.17,2019-06-16,0,2 days
304,SUPE llc,2020-02-21,2020-02-06,2020-02-21,73644.11,2020-02-06,0,0 days
305,WINC systems,2019-11-05,2019-10-21,2019-11-05,17741.14,2019-10-21,0,0 days
306,SYSC systems,2019-07-04,2019-06-13,2019-06-29,57893.93,2019-06-19,0,5 days
307,WAL-MAR in,2019-05-14,2019-05-03,2019-05-18,15872.12,2019-05-03,0,-4 days
308,WAL-MAR co,2019-09-10,2019-08-28,2019-09-12,44874.28,2019-08-28,0,-2 days
309,WAL-MAR foundation,2019-11-21,2019-11-03,2019-11-18,13.65,2019-11-03,0,3 days
310,MEIJ in,2020-01-21,2020-01-03,2020-01-18,54614.3,2020-01-03,0,3 days
313,WAL-MAR co,2019-12-10,2019-11-29,2019-12-14,39409.42,2019-11-29,0,-4 days
315,SHOPPE us,2019-09-03,2019-08-12,2019-08-30,14941.95,2019-08-20,0,4 days
316,BJ'S  ,2020-03-10,2020-02-24,2020-03-10,68.91,2020-02-24,0,0 days
317,CALIFO associates,2019-08-23,2019-07-09,2019-08-08,535045.04,2019-07-09,0,15 days
318,WAL-MAR foundation,2019-01-09,2018-12-30,2019-01-14,20695.38,2018-12-30,0,-5 days
320,GROCE corporation,2020-01-24,2020-01-09,2020-01-24,19020.02,2020-01-09,0,0 days
321,DEC corporation,2019-08-16,2019-08-07,2019-08-24,383.64,2019-08-01,0,-8 days
322,H T H corp,2019-11-20,2019-10-23,2019-11-07,464.08,2019-10-23,0,13 days
325,WAL-MAR trust,2020-01-21,2020-01-08,2020-01-23,27497.1,2020-01-08,0,-2 days
326,WAL-MAR foundation,2019-12-26,2019-12-14,2019-12-29,3795.7,2019-12-14,0,-3 days
327,KENNETH co,2019-03-26,2019-03-11,2019-03-26,61470.32,2019-03-11,0,0 days
328,DEC trust,2019-05-01,2019-04-23,2019-05-09,62.7,2019-04-16,0,-8 days
329,PUBLI trust,2019-06-13,2019-05-29,2019-06-13,117771.0,2019-05-29,0,0 days
331,DELHAIZE ,2019-02-01,2019-01-18,2019-02-02,59953.23,2019-01-18,0,-1 days
332,HEARTHSI llc,2019-09-30,2019-07-18,2019-09-16,71580.0,2019-07-18,0,14 days
334,COLABOR  foundation,2019-08-29,2019-08-14,2019-08-26,620.36,2019-08-16,0,3 days
335,M  us,2019-08-16,2019-07-11,2019-08-15,6127.08,2019-08-15,0,1 days
336,COSTCO us,2019-09-05,2019-08-22,2019-09-02,4863.97,2019-08-23,0,3 days
337,WAL-MAR trust,2019-07-05,2019-06-24,2019-07-09,69976.62,2019-06-24,0,-4 days
338,WEIS associates,2019-03-18,2019-03-02,2019-03-17,66520.4,2019-03-02,0,1 days
339,STATER  systems,2019-04-15,2019-03-29,2019-06-03,955.72,2019-03-30,0,-49 days
341,US  llc,2019-11-08,2019-10-18,2019-11-07,51733.48,2019-10-18,0,1 days
342,WAL-MAR trust,2019-11-19,2019-10-29,2019-11-13,27350.39,2019-10-29,0,6 days
343,WAL-MAR trust,2019-08-06,2019-07-27,2019-08-11,53200.16,2019-07-27,0,-5 days
344,SYSCO  corporation,2019-01-15,2019-01-02,2019-01-17,47825.79,2019-01-02,0,-2 days
345,WAL-MAR co,2019-11-12,2019-11-01,2019-11-16,14793.88,2019-11-01,0,-4 days
346,KROGER co,2019-09-12,2019-08-28,2019-09-12,65476.71,2019-08-28,0,0 days
347,KROGER ,2019-12-30,2019-12-13,2019-12-28,45346.85,2019-12-13,0,2 days
